Strain	Day	Replicate	Light_level	Pyruvate_conc	avg_cells_mm2	cells_mL
NIES 843	7	3	330	0	22.8	228000
NIES 843	7	1	330	1	17.25	172500
NIES 843	7	2	330	1	14	140000
NIES 843	7	3	330	1	13	130000
7941	7	1	330	0	79.25	792500
7941	7	2	330	0	73.75	737500
7941	7	3	330	0	70.5	705000
7941	7	1	330	1	90.5	905000
7941	7	2	330	1	77	770000
7941	7	3	330	1	88.75	887500
7806 mcyB knockout	9	1	330	0	43	430000
7806 mcyB knockout	9	2	330	0	57.75	577500
7806 mcyB knockout	9	3	330	0	35.25	352500
7806 mcyB knockout	9	1	330	1	57.25	572500
7806 mcyB knockout	9	2	330	1	50.2	502000
7806 mcyB knockout	9	3	330	1	55.75	557500
9701	9	1	330	0	69	690000
9701	9	2	330	0	47.75	477500
9701	9	3	330	0	47.75	477500
9701	9	1	330	1	87	870000
9701	9	2	330	1	71.75	717500
9701	9	3	330	1	81.25	812500
7005	9	1	330	0	46.5	465000
7005	9	2	330	0	72.5	725000
7005	9	3	330	0	98.75	987500
7005	9	1	330	1	69.25	692500
7005	9	2	330	1	72	720000
7005	9	3	330	1	22.75	227500
NIES 843	9	1	330	0	50.25	502500
NIES 843	9	2	330	0	41.5	415000
NIES 843	9	3	330	0	39.75	397500
NIES 843	9	1	330	1	24.5	245000
NIES 843	9	2	330	1	14.25	142500
NIES 843	9	3	330	1	17.5	175000
7941	9	1	330	0	128	1280000
7941	9	2	330	0	133.5	1335000
7941	9	3	330	0	122.5	1225000
7941	9	1	330	1	153	1530000
7941	9	2	330	1	126	1260000
7941	9	3	330	1	162	1620000
7806 mcyB knockout	11	1	330	0	148.25	1482500
7806 mcyB knockout	11	2	330	0	171	1710000
7806 mcyB knockout	11	3	330	0	128.5	1285000
7806 mcyB knockout	11	1	330	1	146.75	1467500
7806 mcyB knockout	11	2	330	1	192.5	1925000
7806 mcyB knockout	11	3	330	1	194.75	1947500
9701	11	1	330	0	120.75	1207500
9701	11	2	330	0	89	890000
9701	11	3	330	0	88.5	885000
9701	11	1	330	1	120.25	1202500
9701	11	2	330	1	92	920000
9701	11	3	330	1	122.75	1227500
7005	11	1	330	0	109	1090000
7005	11	2	330	0	103.75	1037500
7005	11	3	330	0	123.5	1235000
7005	11	1	330	1	109	1090000
7005	11	2	330	1	137	1370000
7005	11	3	330	1	62.75	627500
NIES 843	11	1	330	0	43	430000
NIES 843	11	2	330	0	50.5	505000
NIES 843	11	3	330	0	39.5	395000
NIES 843	11	1	330	1	26	260000
NIES 843	11	2	330	1	21	210000
NIES 843	11	3	330	1	22	220000
7941	11	1	330	0	134	1340000
7941	11	2	330	0	156.5	1565000
7941	11	3	330	0	160	1600000
7941	11	1	330	1	224.5	2245000
7941	11	2	330	1	178.5	1785000
7941	11	3	330	1	141	1410000
